,FTR,HTP,ATP,HM1,HM2,HM3,AM1,AM2,AM3,HTGD,ATGD,DiffPts,DiffFormPts,DiffLP
6203,D,12,11,L,L,D,L,D,W,-6,-3,1,-1,-19.0
6204,H,27,8,D,W,W,W,W,L,16,-9,19,5,-9.0
6205,H,6,11,D,L,L,L,L,L,-11,-4,-5,2,-3.0
6206,H,25,15,D,D,W,W,L,L,13,-2,10,2,-14.0
6207,D,19,11,D,W,D,L,D,L,3,-10,8,-1,-2.0
6208,H,14,19,D,L,L,D,L,W,0,2,-5,0,-5.0
6209,A,18,13,W,L,W,L,D,W,-3,-6,5,0,4.0
6210,H,11,17,L,L,L,W,D,L,-5,1,-6,-5,9.0
6211,A,30,31,W,W,D,W,W,W,17,19,-1,-4,-6.0
6212,H,16,14,W,L,D,L,L,W,-5,-9,2,3,-11.0
6213,H,8,13,L,W,W,D,L,L,-11,-6,-5,1,16.0
6214,H,24,9,L,W,D,W,D,L,9,-10,15,1,-9.0
6215,H,17,18,D,W,W,L,W,L,1,-4,-1,0,1.0
6216,A,12,28,D,L,D,W,D,D,-10,15,-16,-4,5.0
6217,H,15,30,L,W,L,W,D,W,-4,18,-15,-9,8.0
6218,D,19,20,L,D,L,D,D,W,1,3,-1,-2,6.0
6219,H,12,11,D,L,D,D,L,W,-3,-17,1,2,0.0
6220,H,31,19,W,W,D,W,W,L,19,-3,12,1,-7.0
6221,H,14,18,L,L,L,W,L,W,-11,-3,-4,-2,4.0
6222,D,11,14,L,D,L,W,L,L,-18,-2,-3,1,5.0
6223,H,13,30,L,D,L,L,W,W,-7,15,-17,-8,-3.0
6224,H,9,11,L,W,D,W,L,W,-15,-10,-2,-5,-5.0
6225,H,18,20,L,L,W,D,L,D,-6,1,-2,1,2.0
6226,H,34,20,W,W,W,W,D,W,21,3,14,5,-4.0
6227,D,30,12,L,W,D,L,D,L,17,-14,18,8,1.0
6228,H,21,27,D,D,D,W,L,W,3,14,-6,-1,2.0
6229,H,17,15,L,W,D,W,D,L,-2,-2,2,-4,-14.0
6230,H,18,16,L,W,L,W,L,D,-4,-5,2,2,15.0
6231,H,20,34,L,D,L,W,W,W,0,21,-14,-9,9.0
6232,A,15,24,D,W,L,W,D,D,-2,4,-9,-5,10.0
6233,H,30,21,L,L,W,W,L,L,13,-5,9,1,-9.0
6234,A,15,31,L,W,D,D,L,W,-3,17,-16,-3,12.0
6235,D,19,20,L,W,W,W,L,W,-5,-1,-1,0,3.0
6236,A,11,37,L,W,L,W,W,W,-13,22,-26,-6,7.0
6237,H,27,12,L,W,L,D,L,D,13,-18,15,2,-17.0
6238,H,20,12,L,W,D,W,L,W,2,-12,8,3,2.0
6239,H,13,17,D,L,D,W,L,L,-14,-10,-4,-3,-13.0
6240,A,15,40,L,D,W,W,W,W,-3,23,-25,-11,5.0
6241,H,15,12,L,L,W,L,W,L,-6,-14,3,-3,8.0
6242,D,20,16,D,L,W,L,W,L,-5,-6,4,3,8.0
6243,H,11,21,L,L,W,L,W,L,-14,-7,-10,0,4.0
6244,A,23,27,W,L,W,W,W,D,4,5,-4,1,9.0
6245,H,16,12,W,D,L,L,D,L,-13,-21,4,3,-13.0
6246,A,21,21,W,L,W,D,W,L,-3,-1,0,1,10.0
6247,H,33,34,W,L,L,L,W,W,15,20,-1,-1,2.0
6248,H,30,17,W,L,W,L,W,L,16,-11,13,6,-17.0
6249,A,23,34,W,L,D,W,D,L,1,20,-11,-3,3.0
6250,H,34,23,L,L,W,L,W,L,19,2,11,2,-12.0
6251,H,17,18,L,L,W,W,L,L,-12,-3,-1,-4,0.0
